Skill,Pot,Rank,Player,Age,Team,Transfer_Value
73.7,81.4,321,Nicolò Rovella,23,Lazio,30.8
69.0,73.4,322,Joey Veerman,26,PSV,30.8
66.8,84.2,323,Facundo Buonanotte,20,Leicester,30.7
80.9,80.9,324,Heung-min Son,32,Tottenham,30.7
72.3,84.4,325,Bart Verbruggen,22,Brighton,30.7
79.1,79.1,326,Denzel Dumfries,29,Inter,30.5
72.6,77.7,327,Wesley Fofana,24,Chelsea,30.3
76.3,76.3,328,Alex Iwobi,29,Fulham,30.3
81.4,86.4,329,Callum Hudson-Odoi,24,Nottingham,30.2
73.7,78.3,330,Francisco Trincão,25,Sporting CP,30.2
69.6,84.6,331,Malick Fofana,20,Lyon,30.0
73.3,79.3,332,Calvin Bassey,25,Fulham,29.9
66.9,79.9,333,Taylor Harwood-Bellis,23,Southampton,29.9
71.5,79.3,334,André,23,Wolverhampton,29.8
71.4,71.7,335,Yves Bissouma,28,Tottenham,29.8
71.1,76.5,336,Kevin Schade,23,Brentford,29.7
75.0,76.2,337,John Stones,30,Man City,29.7
75.5,75.6,338,Marcos Llorente,30,Atlético,29.5
62.8,74.8,339,Brajan Gruda,20,Brighton,29.4
81.2,81.2,340,Unai Simón,27,Athletic,29.2
86.5,86.5,341,David Raya,29,Arsenal,28.9
71.2,84.3,342,Lucas Beraldo,21,PSG,28.7
73.4,78.0,343,Mikkel Damsgaard,24,Brentford,28.6
70.2,77.6,344,Benoît Badiashile,24,Chelsea,28.5
71.3,90.2,345,Pietro Comuzzo,20,Fiorentina,28.5
59.4,78.1,346,Lewis Miley,19,Newcastle Utd.,28.5
72.9,80.4,347,Dango Ouattara,23,B'mouth,28.5
69.6,78.5,348,Radu Drăguşin,23,Tottenham,28.4
67.0,73.9,349,Leif Davis,25,Ipswich Town,28.2
65.5,75.2,350,Conor Bradley,21,Liverpool,27.9
55.5,65.4,351,Oscar Bobb,21,Man City,27.9
72.4,72.7,352,Sander Berge,27,Fulham,27.8
67.3,83.3,353,Arthur Vermeeren,20,RB Leipzig,27.7
76.4,80.0,354,Maxence Lacroix,25,C. Palace,27.7
66.4,77.6,355,Alex Scott,21,B'mouth,27.6
71.4,81.4,356,Miguel Gutiérrez,23,Girona,27.5
64.1,79.9,357,Joel Ordóñez,21,Brugge,27.5
69.1,69.7,358,Axel Disasi,27,Aston Villa,27.5
64.9,79.9,359,O. Hutchinson,21,Ipswich Town,27.4
72.6,74.2,360,Kevin Danso,26,Tottenham,27.2
72.1,78.6,361,Mohamed Simakan,25,Al-Nassr,27.2
71.8,77.4,362,Keane Lewis-Potter,24,Brentford,27.1
77.0,77.8,363,Vitaly Janelt,26,Brentford,27.1
62.1,74.4,364,Lesley Ugochukwu,21,Southampton,27.0
70.8,75.4,365,Dwight McNeil,25,Everton,27.0
67.2,79.9,366,Andrey Santos,21,Strasbourg,26.9
73.2,82.2,367,Maximilian Beier,22,Dortmund,26.9
73.4,77.4,368,Evanilson,25,B'mouth,26.9
74.4,75.0,369,Aaron Wan-Bissaka,27,West Ham United,26.9
71.5,82.8,370,Habib Diarra,21,Strasbourg,26.9
76.0,81.8,371,Marco Carnesecchi,24,Atalanta,26.8
72.0,79.4,372,Bafodé Diakité,24,Lille,26.7
72.6,72.7,373,Richarlison,27,Tottenham,26.7
66.9,81.2,374,António Silva,21,Benfica,26.7
50.1,65.3,375,Luis Guilherme,19,West Ham United,26.6
73.1,82.6,376,Elye Wahi,22,E. Frankfurt,26.6
63.8,85.7,377,Jobe Bellingham,19,Sunderland,26.6
65.9,76.7,378,Giuliano Simeone,22,Atlético,26.5
71.5,79.4,379,Sepp van den Berg,23,Brentford,26.4
65.7,78.0,380,Anatoliy Trubin,23,Benfica,26.4
74.8,84.6,381,Matteo Ruggeri,22,Atalanta,26.4
80.9,84.4,382,Alessandro Buongiorno,25,Napoli,26.3
75.6,81.3,383,Wilfried Singo,24,Monaco,26.3
68.2,75.3,384,Evann Guessand,23,Nice,26.3
62.6,73.4,385,Jarell Quansah,22,Liverpool,26.2
66.8,79.8,386,Zeno Debast,21,Sporting CP,26.1
67.8,72.8,387,Thiago Almada,24,Lyon,26.0
69.0,81.8,388,Lamine Camara,21,Monaco,25.9
65.2,71.3,389,Crysencio Summerville,23,West Ham United,25.9
63.8,70.1,390,Igor Thiago,23,Brentford,25.9
68.0,75.0,391,Brian Brobbey,23,Ajax,25.9
65.0,73.6,392,Filip Jørgensen,23,Chelsea,25.9
62.4,73.8,393,Ardon Jashari,22,Brugge,25.8
77.4,79.3,394,Evan Ndicka,25,Roma,25.8
64.8,71.5,395,Mika Biereth,22,Monaco,25.8
69.1,86.2,396,Guillaume Restes,20,Toulouse,25.8
78.9,80.3,397,Valentin Castellanos,26,Lazio,25.7
77.5,78.9,398,Nahuel Molina,27,Atlético,25.7
71.3,76.7,399,Pierre Kalulu,24,Juventus,25.7
73.8,79.3,400,Lutsharel Geertruida,24,RB Leipzig,25.7
68.5,72.9,401,Iliman Ndiaye,25,Everton,25.7
69.9,70.1,402,Ismaïla Sarr,27,C. Palace,25.7
66.1,71.9,403,Matt O'Riley,24,Brighton,25.6
62.2,79.7,404,Roger Fernandes,19,Sporting Braga,25.6
74.2,79.0,405,Dan Ndoye,24,Bologna,25.6
77.3,85.2,406,James Trafford,22,Burnley,25.5
58.6,73.6,407,Conrad Harder,20,Sporting CP,25.5
69.1,85.0,408,Vitor Roque,20,Palmeiras,25.5
71.2,81.8,409,Yunus Musah,22,Milan,25.4
72.5,72.5,410,Nayef Aguerd,29,Real Sociedad,25.4
53.6,77.0,411,Rodrigo Mora,18,Porto,25.4
76.1,80.2,412,João Félix,25,Milan,25.4
71.9,76.6,413,Samuel Lino,25,Atlético,25.4
